year, cdd_65f
1950, 1600
1951, 1800
1952, 2000
1953, 2100
1954, 2400
1955, 2000
1956, 2000
1957, 1800
1958, 1800
1959, 2000
1960, 1900
1961, 1700
1962, 2100
1963, 2100
1964, 1900
1965, 1900
1966, 1700
1967, 1600
1968, 1900
1969, 2000
1970, 2000
1971, 1900
1972, 1900
1973, 1900
1974, 1500
1975, 1700
1976, 1400
1977, 2200
1978, 1800
1979, 1600
1980, 2300
1981, 1700
1982, 1900
1983, 2000
1984, 1800
1985, 1900
1986, 2100
1987, 2100
1988, 1900
1989, 1700
1990, 1900
1991, 2100
1992, 1500
1993, 1900
1994, 1700
1995, 1800
1996, 1800
1997, 1700
1998, 2300
1999, 2000
2000, 2100
2001, 2000
2002, 2000
2003, 1600
2004, 1700
2005, 2000
2006, 1900
2007, 2100
2008, 1700
2009, 1600
2010, 2200
2011, 2000
2012, 2100
2013, 1800
