year, days_dry_days
1950, 180.3
1951, 176.7
1952, 227
1953, 231.4
1954, 227.8
1955, 211.7
1956, 219.2
1957, 165.3
1958, 209.6
1959, 205
1960, 197.3
1961, 191.3
1962, 186.7
1963, 218.7
1964, 208.8
1965, 203.1
1966, 200.4
1967, 204.9
1968, 189.3
1969, 212.8
1970, 177
1971, 189.9
1972, 170.2
1973, 174
1974, 181
1975, 181.6
1976, 221
1977, 203.9
1978, 202.7
1979, 188.9
1980, 223.3
1981, 210.2
1982, 180.7
1983, 195.1
1984, 180.3
1985, 189.6
1986, 203.5
1987, 197.6
1988, 206.4
1989, 198.8
1990, 190.2
1991, 195.1
1992, 199.6
1993, 194.6
1994, 196.2
1995, 214.1
1996, 200.4
1997, 193.1
1998, 197.7
1999, 220.3
2000, 210
2001, 204
2002, 182.8
2003, 188.4
2004, 191.4
2005, 223.8
2006, 208.4
2007, 217.6
2008, 193.7
2009, 183.2
2010, 226.8
2011, 184
2012, 211.3
2013, 188.1
