year, days_pcpn_gt_2in
1950, 2.2
1951, 0.2
1952, 0.9
1953, 1
1954, 0
1955, 0.1
1956, 0.8
1957, 4.3
1958, 0.2
1959, 0.3
1960, 0.4
1961, 1.2
1962, 0.1
1963, 0.8
1964, 2.3
1965, 1.6
1966, 4.1
1967, 1
1968, 0.8
1969, 2.4
1970, 1.1
1971, 0.4
1972, 1.3
1973, 4.7
1974, 1
1975, 1.7
1976, 1.1
1977, 0.4
1978, 3.1
1979, 2.5
1980, 0.7
1981, 1.1
1982, 1.4
1983, 0.2
1984, 0.3
1985, 0.7
1986, 0
1987, 1.3
1988, 2
1989, 1.1
1990, 1.6
1991, 0
1992, 0
1993, 0
1994, 0.3
1995, 0.1
1996, 0.3
1997, 2.3
1998, 0.4
1999, 0.2
2000, 0
2001, 1.8
2002, 0.7
2003, 1.3
2004, 2.2
2005, 0
2006, 0.8
2007, 0.1
2008, 2.3
2009, 3.1
2010, 0.7
2011, 3.8
2012, 0.3
2013, 1.1
