year, days_tmax_gt_90f
1950, 31.1
1951, 64.6
1952, 89.7
1953, 96.2
1954, 104.3
1955, 69.8
1956, 78.4
1957, 47.5
1958, 59.3
1959, 57.6
1960, 60.8
1961, 54.7
1962, 72
1963, 67.4
1964, 72.6
1965, 55
1966, 49.9
1967, 33.8
1968, 64.6
1969, 69.7
1970, 58.9
1971, 62.6
1972, 69.1
1973, 62.2
1974, 44.9
1975, 50.1
1976, 41.3
1977, 75.9
1978, 62.9
1979, 45
1980, 97.1
1981, 50.4
1982, 53.2
1983, 80.7
1984, 63.6
1985, 58.6
1986, 70
1987, 71.4
1988, 71.3
1989, 44.2
1990, 60.3
1991, 54.2
1992, 22.4
1993, 65.3
1994, 27.7
1995, 52.2
1996, 45.5
1997, 48
1998, 78.7
1999, 67.6
2000, 67.3
2001, 60.9
2002, 66.2
2003, 39.4
2004, 27
2005, 68.4
2006, 60.1
2007, 54.9
2008, 45.1
2009, 28.9
2010, 83.1
2011, 74.3
2012, 79.8
2013, 48.8
