year, days_tmin_lt_32f
1950, 77.7
1951, 69.4
1952, 58.6
1953, 52.4
1954, 57.9
1955, 76
1956, 56.8
1957, 50.2
1958, 77.7
1959, 68.7
1960, 88.5
1961, 57.6
1962, 62.3
1963, 74
1964, 59.6
1965, 55.1
1966, 68.4
1967, 62.2
1968, 73.3
1969, 68.2
1970, 64.5
1971, 57
1972, 57.2
1973, 47.5
1974, 60
1975, 65.3
1976, 77.6
1977, 66.5
1978, 86
1979, 90.7
1980, 78.3
1981, 65.6
1982, 69.4
1983, 64.6
1984, 65.3
1985, 75.7
1986, 62
1987, 52.2
1988, 71.3
1989, 70
1990, 37.3
1991, 50.3
1992, 46.1
1993, 67
1994, 52.4
1995, 62.8
1996, 64.3
1997, 47
1998, 30.5
1999, 40.4
2000, 68.5
2001, 59.6
2002, 72.7
2003, 75.6
2004, 66.5
2005, 64.1
2006, 60.6
2007, 71.2
2008, 95.1
2009, 75.8
2010, 86.8
2011, 63.7
2012, 58.6
2013, 86.1
