year, hdd_65f
1950, 3500
1951, 3700
1952, 3400
1953, 3200
1954, 3200
1955, 3400
1956, 3200
1957, 3200
1958, 4000
1959, 3400
1960, 3900
1961, 3500
1962, 3600
1963, 3600
1964, 3300
1965, 3200
1966, 3600
1967, 3200
1968, 3700
1969, 3600
1970, 3600
1971, 3300
1972, 3600
1973, 3200
1974, 3300
1975, 3600
1976, 3800
1977, 3700
1978, 4300
1979, 4300
1980, 4100
1981, 3600
1982, 3600
1983, 4000
1984, 3600
1985, 3800
1986, 3200
1987, 3300
1988, 3700
1989, 3700
1990, 2900
1991, 3200
1992, 3300
1993, 3800
1994, 3300
1995, 3500
1996, 3800
1997, 3600
1998, 3000
1999, 3000
2000, 3700
2001, 3400
2002, 3700
2003, 3700
2004, 3500
2005, 3500
2006, 3400
2007, 3500
2008, 4100
2009, 3800
2010, 4000
2011, 3700
2012, 3000
2013, 4100
