year, tmax
1950, 70.4
1951, 71.1
1952, 73.3
1953, 74.2
1954, 74.9
1955, 72.4
1956, 73.3
1957, 71.3
1958, 69.8
1959, 72.2
1960, 69.9
1961, 70.8
1962, 71.3
1963, 72.5
1964, 72.3
1965, 72.4
1966, 70.3
1967, 71
1968, 70.1
1969, 71.1
1970, 70.9
1971, 71.9
1972, 70.6
1973, 71.4
1974, 70.9
1975, 70.2
1976, 69.7
1977, 71.7
1978, 68.8
1979, 68.1
1980, 71.3
1981, 71
1982, 70.9
1983, 69.9
1984, 70.9
1985, 70.4
1986, 72.6
1987, 72.5
1988, 71.4
1989, 69.9
1990, 72.6
1991, 71.4
1992, 69.8
1993, 69.3
1994, 70.3
1995, 70.6
1996, 69.5
1997, 69.6
1998, 72.8
1999, 73
2000, 70.9
2001, 71.6
2002, 70.4
2003, 69.3
2004, 70.2
2005, 71.8
2006, 71.6
2007, 71.6
2008, 69
2009, 68.3
2010, 70.9
2011, 70.6
2012, 73.7
2013, 68.7
