year, tmin
1950, 48.7
1951, 48.6
1952, 49.1
1953, 49.6
1954, 50.7
1955, 49.7
1956, 50
1957, 51.1
1958, 48.3
1959, 50
1960, 48.8
1961, 49.2
1962, 50.7
1963, 49.6
1964, 50.4
1965, 51
1966, 49.1
1967, 50.1
1968, 49.8
1969, 50
1970, 50.3
1971, 50.6
1972, 50.4
1973, 51.5
1974, 49.2
1975, 49.1
1976, 46.6
1977, 50.1
1978, 47.5
1979, 47.1
1980, 48.9
1981, 49.1
1982, 49.8
1983, 49.3
1984, 49.3
1985, 49.6
1986, 51.6
1987, 50.8
1988, 49
1989, 49.2
1990, 51.7
1991, 52.1
1992, 50.4
1993, 50
1994, 50.7
1995, 50.4
1996, 49.6
1997, 50.2
1998, 53.6
1999, 51.3
2000, 50.4
2001, 50.7
2002, 50.1
2003, 49.3
2004, 50
2005, 50.1
2006, 50.3
2007, 50.6
2008, 48.1
2009, 49.2
2010, 49.4
2011, 50.2
2012, 51
2013, 48.3
