year, cdd_65f
1950, 1700
1951, 2100
1952, 1800
1953, 2000
1954, 2100
1955, 1800
1956, 2100
1957, 1800
1958, 1900
1959, 1900
1960, 1800
1961, 1700
1962, 1900
1963, 2000
1964, 2000
1965, 1800
1966, 1700
1967, 1700
1968, 1500
1969, 1900
1970, 1600
1971, 1500
1972, 1500
1973, 1400
1974, 1600
1975, 1300
1976, 1300
1977, 2000
1978, 1800
1979, 1500
1980, 1900
1981, 1500
1982, 1700
1983, 1800
1984, 1500
1985, 1700
1986, 1500
1987, 1400
1988, 1500
1989, 2000
1990, 1800
1991, 1700
1992, 1700
1993, 1900
1994, 2200
1995, 1800
1996, 2000
1997, 1900
1998, 2200
1999, 1800
2000, 2200
2001, 2100
2002, 2100
2003, 1900
2004, 1600
2005, 1800
2006, 1900
2007, 1600
2008, 1700
2009, 1900
2010, 1800
2011, 2400
2012, 2100
2013, 1900
