year, days_dry_days
1950, 285.7
1951, 305.1
1952, 302.7
1953, 302.4
1954, 310.2
1955, 288.4
1956, 312.9
1957, 279.8
1958, 253.9
1959, 281.9
1960, 286.3
1961, 292.7
1962, 273.7
1963, 292.1
1964, 302.6
1965, 293.7
1966, 294.5
1967, 290.7
1968, 278.9
1969, 280.4
1970, 294.9
1971, 293.5
1972, 268.2
1973, 287.6
1974, 271.7
1975, 281.6
1976, 286.5
1977, 279.9
1978, 265.1
1979, 283.1
1980, 285.7
1981, 265.3
1982, 267.3
1983, 268.7
1984, 269.5
1985, 262
1986, 248.5
1987, 249.1
1988, 291.3
1989, 294.4
1990, 273.2
1991, 257.5
1992, 250
1993, 276.4
1994, 286.4
1995, 296
1996, 295
1997, 250.1
1998, 293.1
1999, 279.2
2000, 282.3
2001, 283.5
2002, 280.7
2003, 303.2
2004, 247.4
2005, 274.6
2006, 280.7
2007, 259.4
2008, 292.9
2009, 284.1
2010, 280.7
2011, 315
2012, 306.5
2013, 300.3
