year, days_tmax_gt_90f
1950, 82.2
1951, 111.5
1952, 99.4
1953, 108.3
1954, 101
1955, 79.2
1956, 119.1
1957, 86.4
1958, 93.9
1959, 97.7
1960, 82.1
1961, 95.1
1962, 102.4
1963, 93
1964, 98.4
1965, 85.8
1966, 71.5
1967, 74.4
1968, 71.9
1969, 87.9
1970, 79.8
1971, 71
1972, 55.2
1973, 67.6
1974, 82.4
1975, 61.4
1976, 58.4
1977, 102.8
1978, 82.5
1979, 78.1
1980, 93.6
1981, 63
1982, 93.4
1983, 97.2
1984, 75.3
1985, 86.6
1986, 63.1
1987, 61.8
1988, 74.2
1989, 108.2
1990, 78.7
1991, 80.7
1992, 87.4
1993, 103.3
1994, 105.5
1995, 92
1996, 102.3
1997, 98.8
1998, 122.7
1999, 94
2000, 123.3
2001, 110.5
2002, 106.7
2003, 91.5
2004, 80.6
2005, 99.8
2006, 86.4
2007, 65.5
2008, 75.8
2009, 92.9
2010, 90
2011, 124.5
2012, 118.2
2013, 99.3
