year, days_tmax_lt_32f
1950, 0
1951, 4.2
1952, 0.5
1953, 2.1
1954, 0
1955, 0
1956, 3.2
1957, 0.4
1958, 0.5
1959, 2.3
1960, 2.3
1961, 2.1
1962, 2.9
1963, 5.7
1964, 1.2
1965, 0.7
1966, 2.5
1967, 1.7
1968, 1
1969, 1.9
1970, 1.7
1971, 4.3
1972, 2.1
1973, 4.2
1974, 1.9
1975, 0.5
1976, 3.3
1977, 1
1978, 3.9
1979, 3.8
1980, 3
1981, 1
1982, 4.8
1983, 5.3
1984, 3.1
1985, 4.2
1986, 3.7
1987, 5.4
1988, 1.8
1989, 4.1
1990, 1.4
1991, 0.5
1992, 0.5
1993, 0.3
1994, 0.2
1995, 0.6
1996, 3
1997, 6.1
1998, 0.5
1999, 0
2000, 0.5
2001, 1.3
2002, 0.8
2003, 0.6
2004, 4.2
2005, 0.9
2006, 0
2007, 4
2008, 0.2
2009, 1.6
2010, 1.1
2011, 6.3
2012, 0.1
2013, 4.5
