year, days_tmin_lt_32f
1950, 62.2
1951, 76.2
1952, 79.7
1953, 66.2
1954, 59.6
1955, 75.4
1956, 82
1957, 57
1958, 84.3
1959, 87.2
1960, 93.9
1961, 83.3
1962, 70.8
1963, 81.8
1964, 85.1
1965, 71.3
1966, 86.7
1967, 75.9
1968, 77.5
1969, 77.7
1970, 87.9
1971, 80.3
1972, 88.7
1973, 89.4
1974, 88.6
1975, 97.4
1976, 97.9
1977, 84.1
1978, 82.3
1979, 95.6
1980, 95.3
1981, 72.9
1982, 79.7
1983, 87.4
1984, 86.5
1985, 84.5
1986, 71.8
1987, 88.2
1988, 95.2
1989, 78.3
1990, 75.2
1991, 73.8
1992, 77.7
1993, 81.7
1994, 72.8
1995, 64.6
1996, 85.3
1997, 88.1
1998, 73.8
1999, 67.4
2000, 81.5
2001, 72.3
2002, 85.4
2003, 73.5
2004, 66.4
2005, 67.7
2006, 74.5
2007, 90
2008, 92.6
2009, 93.6
2010, 89.3
2011, 84.1
2012, 76.5
2013, 95.4
