year, hdd_65f
1950, 2300
1951, 3000
1952, 3100
1953, 2900
1954, 2500
1955, 2900
1956, 2900
1957, 2900
1958, 3500
1959, 3200
1960, 3400
1961, 3300
1962, 2900
1963, 3000
1964, 3200
1965, 2900
1966, 3300
1967, 2800
1968, 3200
1969, 3200
1970, 3400
1971, 3100
1972, 3100
1973, 3500
1974, 3200
1975, 3300
1976, 3500
1977, 3000
1978, 3400
1979, 3600
1980, 3400
1981, 2900
1982, 3300
1983, 3400
1984, 3300
1985, 3200
1986, 2900
1987, 3300
1988, 3200
1989, 3000
1990, 2900
1991, 3000
1992, 3100
1993, 3100
1994, 2800
1995, 2700
1996, 2900
1997, 3500
1998, 2900
1999, 2600
2000, 3000
2001, 3000
2002, 3200
2003, 2700
2004, 3200
2005, 3100
2006, 2800
2007, 3200
2008, 3100
2009, 3000
2010, 3100
2011, 3100
2012, 2700
2013, 3300
