year, pcpn
1950, 13.18
1951, 6.53
1952, 6.77
1953, 6.97
1954, 11.59
1955, 10.84
1956, 6.19
1957, 9.81
1958, 20.78
1959, 9.46
1960, 15.83
1961, 8.12
1962, 12.95
1963, 9.39
1964, 5.69
1965, 10.25
1966, 14.2
1967, 6.71
1968, 15.25
1969, 13
1970, 10.01
1971, 12.39
1972, 17.07
1973, 12.75
1974, 23.04
1975, 11.47
1976, 12.81
1977, 11.08
1978, 22.6
1979, 12.88
1980, 16.97
1981, 17.42
1982, 13.89
1983, 12.41
1984, 21.25
1985, 13.77
1986, 23.98
1987, 15.99
1988, 16.29
1989, 8.77
1990, 12.19
1991, 21.75
1992, 16.79
1993, 9.07
1994, 9.41
1995, 10.09
1996, 13.06
1997, 19.74
1998, 7.53
1999, 11.81
2000, 11.69
2001, 8.09
2002, 13.06
2003, 6.91
2004, 23.76
2005, 10.67
2006, 14.78
2007, 19.29
2008, 11.75
2009, 11.79
2010, 17.94
2011, 5.89
2012, 9.81
2013, 12.33
