year, tmin
1950, 47.7
1951, 47.1
1952, 46.5
1953, 47.2
1954, 49.1
1955, 47.4
1956, 47
1957, 48.2
1958, 47.2
1959, 46.4
1960, 45.9
1961, 45.6
1962, 47.5
1963, 47.2
1964, 46.6
1965, 47.8
1966, 46.6
1967, 46.9
1968, 46
1969, 47.2
1970, 45
1971, 45.5
1972, 45.7
1973, 44.1
1974, 46
1975, 43.3
1976, 43.9
1977, 46.7
1978, 46.6
1979, 44.6
1980, 46.1
1981, 46.5
1982, 46
1983, 45.3
1984, 45.3
1985, 45.8
1986, 46.9
1987, 45.1
1988, 45
1989, 46.1
1990, 47
1991, 46.8
1992, 46.1
1993, 46.3
1994, 47.8
1995, 47.6
1996, 46.9
1997, 45.9
1998, 47.4
1999, 47.2
2000, 47.7
2001, 47.7
2002, 47.7
2003, 47.8
2004, 46.9
2005, 46.5
2006, 47.5
2007, 46.2
2008, 45.7
2009, 46.2
2010, 46.5
2011, 47.3
2012, 47.6
2013, 46.1
