year, cdd_65f
1950, 900
1951, 1200
1952, 1600
1953, 1800
1954, 2100
1955, 1400
1956, 1600
1957, 1300
1958, 1200
1959, 1400
1960, 1400
1961, 1100
1962, 1500
1963, 1700
1964, 1400
1965, 1300
1966, 1100
1967, 1000
1968, 1100
1969, 1300
1970, 1400
1971, 1300
1972, 1300
1973, 1300
1974, 1100
1975, 1300
1976, 1000
1977, 1600
1978, 1500
1979, 1100
1980, 1900
1981, 1300
1982, 1400
1983, 1500
1984, 1400
1985, 1300
1986, 1400
1987, 1400
1988, 1300
1989, 1100
1990, 1300
1991, 1500
1992, 900
1993, 1200
1994, 1200
1995, 1300
1996, 1100
1997, 1000
1998, 1600
1999, 1200
2000, 1400
2001, 1300
2002, 1400
2003, 1200
2004, 1100
2005, 1600
2006, 1600
2007, 1600
2008, 1200
2009, 1000
2010, 1600
2011, 1700
2012, 1600
2013, 1300
