year, days_dry_days
1950, 218.5
1951, 182
1952, 242.3
1953, 249.4
1954, 242
1955, 232.5
1956, 226.9
1957, 186.7
1958, 211.8
1959, 209.5
1960, 211.3
1961, 191.4
1962, 185.8
1963, 236.5
1964, 221.9
1965, 198.3
1966, 225.1
1967, 214.9
1968, 206.1
1969, 227
1970, 211.8
1971, 218.2
1972, 213
1973, 182.8
1974, 212
1975, 205.9
1976, 249.7
1977, 195.7
1978, 210.2
1979, 217.6
1980, 249.1
1981, 210.4
1982, 200.2
1983, 221.1
1984, 198
1985, 194.1
1986, 212.9
1987, 199.7
1988, 223.6
1989, 237.7
1990, 191
1991, 202.9
1992, 198.7
1993, 192.1
1994, 215.6
1995, 211.1
1996, 213.5
1997, 192
1998, 208.6
1999, 222.7
2000, 220
2001, 213.5
2002, 216.1
2003, 204.5
2004, 216.1
2005, 221.1
2006, 229.7
2007, 204.2
2008, 191.2
2009, 178.9
2010, 191.3
2011, 200.3
2012, 234.9
2013, 196.7
