year, days_tmax_lt_32f
1950, 14.5
1951, 19.8
1952, 12.3
1953, 6.5
1954, 9.7
1955, 13.9
1956, 12.4
1957, 11.2
1958, 24.7
1959, 12.5
1960, 24.5
1961, 13.1
1962, 14.3
1963, 25.6
1964, 7.3
1965, 13.2
1966, 19.9
1967, 9.5
1968, 16
1969, 9.4
1970, 17.2
1971, 11.4
1972, 18.1
1973, 15.7
1974, 11.5
1975, 9.2
1976, 11.8
1977, 23.1
1978, 42.8
1979, 32
1980, 19.3
1981, 8
1982, 17.5
1983, 21
1984, 10.3
1985, 27.4
1986, 11.6
1987, 10.3
1988, 15.5
1989, 23.6
1990, 5.6
1991, 11.2
1992, 3.1
1993, 17.8
1994, 12
1995, 18.7
1996, 21.3
1997, 13.6
1998, 8.9
1999, 9.5
2000, 25.4
2001, 11.8
2002, 12.8
2003, 14.1
2004, 12.7
2005, 12.3
2006, 6.1
2007, 14.1
2008, 15.4
2009, 15.9
2010, 19.8
2011, 15.7
2012, 3.9
2013, 13.3
