year, hdd_65f
1950, 4600
1951, 4900
1952, 4500
1953, 4100
1954, 4200
1955, 4400
1956, 4400
1957, 4400
1958, 5000
1959, 4500
1960, 4800
1961, 4600
1962, 4600
1963, 4500
1964, 4300
1965, 4100
1966, 4800
1967, 4400
1968, 4900
1969, 4900
1970, 5000
1971, 4400
1972, 4800
1973, 4300
1974, 4400
1975, 4700
1976, 4800
1977, 4600
1978, 5500
1979, 5300
1980, 4800
1981, 4400
1982, 4700
1983, 5000
1984, 4600
1985, 5000
1986, 4300
1987, 4400
1988, 4900
1989, 5100
1990, 4100
1991, 4300
1992, 4300
1993, 5200
1994, 4400
1995, 4700
1996, 5100
1997, 5000
1998, 4300
1999, 4100
2000, 4800
2001, 4500
2002, 4700
2003, 4700
2004, 4300
2005, 4400
2006, 3900
2007, 4300
2008, 4900
2009, 4700
2010, 4800
2011, 4700
2012, 3800
2013, 5000
