year, pcpn
1950, 38.98
1951, 50.17
1952, 29.79
1953, 24.89
1954, 36.7
1955, 30.12
1956, 32.2
1957, 49.9
1958, 49.48
1959, 42.29
1960, 29.91
1961, 45.26
1962, 32.34
1963, 30.74
1964, 38.31
1965, 45.48
1966, 38.42
1967, 44.29
1968, 47.1
1969, 34.56
1970, 41.03
1971, 37.17
1972, 38.62
1973, 57.48
1974, 48.14
1975, 48.83
1976, 30.99
1977, 41.64
1978, 42.71
1979, 46.9
1980, 25.5
1981, 42.28
1982, 46.94
1983, 42.68
1984, 48.98
1985, 53.74
1986, 39.91
1987, 52.22
1988, 44.71
1989, 30.75
1990, 62.98
1991, 39.99
1992, 47.63
1993, 55.56
1994, 46.45
1995, 41.04
1996, 43.76
1997, 37.43
1998, 45.58
1999, 40.59
2000, 34.96
2001, 43.32
2002, 38.76
2003, 40.23
2004, 43.61
2005, 33
2006, 37.29
2007, 44.64
2008, 61.44
2009, 51.32
2010, 48.83
2011, 43.84
2012, 31.94
2013, 53.55
