year, tmax
1950, 65.5
1951, 65.3
1952, 68.5
1953, 70.1
1954, 70.6
1955, 67.7
1956, 68.6
1957, 66.2
1958, 64.9
1959, 67.8
1960, 66.9
1961, 66.7
1962, 67.7
1963, 69.5
1964, 68.9
1965, 68.8
1966, 66.8
1967, 67.4
1968, 65.4
1969, 66.5
1970, 66.2
1971, 68.4
1972, 66.9
1973, 67.3
1974, 67
1975, 67.1
1976, 67.1
1977, 67.4
1978, 65.3
1979, 64.7
1980, 68.8
1981, 67.7
1982, 66.8
1983, 66
1984, 67.1
1985, 65.3
1986, 68.1
1987, 68.3
1988, 67.3
1989, 65.6
1990, 68.5
1991, 68
1992, 66.1
1993, 63.9
1994, 67
1995, 66.7
1996, 65
1997, 64.8
1998, 67.9
1999, 68.6
2000, 66.5
2001, 67.3
2002, 66.8
2003, 66.2
2004, 66.7
2005, 68.6
2006, 70
2007, 68.2
2008, 65.5
2009, 65.2
2010, 66.9
2011, 67.8
2012, 71.1
2013, 65.3
