year, tmin
1950, 44.2
1951, 44.3
1952, 45.8
1953, 47.3
1954, 47.8
1955, 45.6
1956, 46.2
1957, 46.3
1958, 44.6
1959, 45.2
1960, 44.5
1961, 44.4
1962, 45.6
1963, 45.6
1964, 45.4
1965, 45.7
1966, 43.3
1967, 44
1968, 43.8
1969, 44.3
1970, 44
1971, 44.8
1972, 44.5
1973, 46
1974, 44.7
1975, 44.5
1976, 42.5
1977, 45.9
1978, 43
1979, 42.1
1980, 45.2
1981, 45.7
1982, 44.9
1983, 45
1984, 45.3
1985, 44.3
1986, 46.2
1987, 45.6
1988, 42.7
1989, 42
1990, 46.4
1991, 46.6
1992, 45.4
1993, 44.4
1994, 45.6
1995, 44.5
1996, 43.1
1997, 43.6
1998, 47.5
1999, 45.5
2000, 44.6
2001, 45.6
2002, 44.9
2003, 44.8
2004, 45.8
2005, 46.5
2006, 47.1
2007, 47.3
2008, 44.1
2009, 44.6
2010, 45.5
2011, 45.5
2012, 47.2
2013, 44.1
