year, days_dry_days
1950, 251.1
1951, 225.7
1952, 255.2
1953, 243
1954, 275.4
1955, 258.1
1956, 261.5
1957, 212.6
1958, 231.3
1959, 233.8
1960, 222.6
1961, 229
1962, 234.1
1963, 254.8
1964, 245.2
1965, 250.6
1966, 263.7
1967, 241.6
1968, 222.8
1969, 242.9
1970, 260.1
1971, 245.6
1972, 245.4
1973, 202.4
1974, 240.5
1975, 221.5
1976, 260.9
1977, 247.4
1978, 230.9
1979, 237.3
1980, 273.2
1981, 236.7
1982, 241.7
1983, 233.5
1984, 225.6
1985, 225.9
1986, 216.7
1987, 228.1
1988, 240.5
1989, 248.7
1990, 214.9
1991, 218.9
1992, 200.4
1993, 226.4
1994, 235.3
1995, 234.2
1996, 247.8
1997, 227.8
1998, 253.6
1999, 249.4
2000, 237.8
2001, 240.7
2002, 236.3
2003, 242
2004, 220.9
2005, 252.4
2006, 250
2007, 214
2008, 254.8
2009, 223.2
2010, 244.1
2011, 267.2
2012, 266.9
2013, 237.8
