year, days_pcpn_gt_2in
1950, 0.9
1951, 0.5
1952, 0.4
1953, 0.1
1954, 0.1
1955, 2.3
1956, 0
1957, 1.1
1958, 0.2
1959, 1.7
1960, 0.3
1961, 0.9
1962, 0.1
1963, 0.1
1964, 0.1
1965, 0.7
1966, 0.2
1967, 0.5
1968, 0.5
1969, 0.5
1970, 3.2
1971, 0.1
1972, 0.2
1973, 0.6
1974, 1.3
1975, 0.2
1976, 0
1977, 1.2
1978, 0.4
1979, 0.6
1980, 0.2
1981, 0.7
1982, 0.2
1983, 2.2
1984, 0.5
1985, 1.1
1986, 2.3
1987, 1.3
1988, 0.3
1989, 1.5
1990, 1.1
1991, 0.3
1992, 0
1993, 1.5
1994, 0.5
1995, 1.1
1996, 0.5
1997, 0
1998, 1
1999, 0.7
2000, 1.9
2001, 0.2
2002, 0.2
2003, 0.3
2004, 0.6
2005, 0
2006, 0.1
2007, 2.8
2008, 1.6
2009, 0.2
2010, 1
2011, 0.7
2012, 0.9
2013, 1.3
