year, days_tmax_gt_90f
1950, 30.5
1951, 71.8
1952, 97.8
1953, 90.9
1954, 108
1955, 81.7
1956, 115.3
1957, 65.5
1958, 75
1959, 54.2
1960, 61.3
1961, 47.3
1962, 68.9
1963, 91
1964, 79.8
1965, 76.7
1966, 59.8
1967, 46.4
1968, 52.7
1969, 69
1970, 80.4
1971, 66.8
1972, 79.3
1973, 55.7
1974, 63.6
1975, 43.1
1976, 60.7
1977, 85.7
1978, 82.1
1979, 62.5
1980, 105.4
1981, 66.7
1982, 73.8
1983, 69.6
1984, 86.4
1985, 71.8
1986, 68.7
1987, 62.5
1988, 75.2
1989, 44.9
1990, 80.6
1991, 72.8
1992, 37.5
1993, 61.3
1994, 72.7
1995, 67.2
1996, 51
1997, 60.9
1998, 103.9
1999, 61.6
2000, 75
2001, 60.4
2002, 49.5
2003, 61.4
2004, 36
2005, 70.4
2006, 99.1
2007, 41.1
2008, 57.4
2009, 54.8
2010, 72.2
2011, 102.5
2012, 81.3
2013, 61.8
