year, days_tmax_lt_32f
1950, 7.9
1951, 8.3
1952, 3.9
1953, 1.7
1954, 4.7
1955, 1.2
1956, 5.7
1957, 7.6
1958, 9
1959, 6.8
1960, 15.2
1961, 7.8
1962, 9.5
1963, 13.1
1964, 4.2
1965, 1.6
1966, 10.2
1967, 1.1
1968, 6.8
1969, 2.5
1970, 8.3
1971, 5.1
1972, 13.9
1973, 9.5
1974, 7.5
1975, 2
1976, 5.1
1977, 7
1978, 26
1979, 19.2
1980, 10.1
1981, 1.1
1982, 8.9
1983, 14.7
1984, 6.4
1985, 18
1986, 6
1987, 7.3
1988, 9.6
1989, 13.8
1990, 5.5
1991, 4
1992, 0.8
1993, 7.5
1994, 5.1
1995, 4.8
1996, 12.5
1997, 4
1998, 4.6
1999, 3.4
2000, 10.3
2001, 6.9
2002, 4.6
2003, 6.9
2004, 5
2005, 6.7
2006, 4
2007, 10.8
2008, 3.4
2009, 4
2010, 10.4
2011, 9.2
2012, 2.6
2013, 9.3
