year, days_tmin_lt_32f
1950, 85
1951, 78
1952, 68.7
1953, 60.8
1954, 69.6
1955, 89.9
1956, 86.2
1957, 68.2
1958, 86.8
1959, 84.8
1960, 89.4
1961, 74.8
1962, 74.8
1963, 88
1964, 85.7
1965, 73.5
1966, 82
1967, 70.3
1968, 84.6
1969, 82.5
1970, 81.6
1971, 72
1972, 76.6
1973, 62.1
1974, 66.2
1975, 81.2
1976, 82.6
1977, 74.8
1978, 95.3
1979, 91.5
1980, 84.6
1981, 69.9
1982, 73.1
1983, 77.2
1984, 68.3
1985, 83.7
1986, 60.1
1987, 58
1988, 71.8
1989, 84.9
1990, 51.2
1991, 64.2
1992, 55.3
1993, 80.6
1994, 74
1995, 70.2
1996, 81.9
1997, 66.6
1998, 60.9
1999, 61.5
2000, 84.7
2001, 73
2002, 84.9
2003, 86.2
2004, 66.1
2005, 66.7
2006, 66.8
2007, 84.2
2008, 89.8
2009, 86.8
2010, 84.2
2011, 81.3
2012, 70.7
2013, 100.2
