year, hdd_65f
1950, 3500
1951, 3800
1952, 3500
1953, 3300
1954, 3100
1955, 3500
1956, 3500
1957, 3700
1958, 3900
1959, 3800
1960, 4000
1961, 3700
1962, 3600
1963, 3600
1964, 3500
1965, 3200
1966, 3700
1967, 3200
1968, 3800
1969, 3700
1970, 3900
1971, 3500
1972, 3800
1973, 3500
1974, 3300
1975, 3700
1976, 3600
1977, 3400
1978, 4300
1979, 4200
1980, 3700
1981, 3300
1982, 3600
1983, 4200
1984, 3700
1985, 3900
1986, 3100
1987, 3400
1988, 3600
1989, 3800
1990, 3100
1991, 3200
1992, 3100
1993, 3900
1994, 3400
1995, 3500
1996, 3700
1997, 3700
1998, 3500
1999, 3100
2000, 3800
2001, 3600
2002, 3900
2003, 3700
2004, 3400
2005, 3500
2006, 3100
2007, 3600
2008, 3700
2009, 3800
2010, 3800
2011, 3700
2012, 3000
2013, 4100
