year, pcpn
1950, 30.18
1951, 32.76
1952, 22.34
1953, 31.21
1954, 17.17
1955, 34.55
1956, 18.79
1957, 42.15
1958, 30.79
1959, 41.67
1960, 35.28
1961, 34.11
1962, 27.33
1963, 24.59
1964, 28.95
1965, 27.06
1966, 21.79
1967, 27.92
1968, 34.26
1969, 25.09
1970, 30.28
1971, 29.65
1972, 26.34
1973, 42.47
1974, 40.61
1975, 35.06
1976, 20.87
1977, 27.14
1978, 29.78
1979, 38.5
1980, 24.25
1981, 33.48
1982, 34.29
1983, 36.58
1984, 33.74
1985, 44.97
1986, 42.8
1987, 41.82
1988, 29.59
1989, 37.95
1990, 40.06
1991, 39.85
1992, 43.7
1993, 40.46
1994, 32.26
1995, 38.76
1996, 34.09
1997, 34.75
1998, 35.13
1999, 37.58
2000, 37.25
2001, 32.51
2002, 34.33
2003, 24.33
2004, 39.53
2005, 27.13
2006, 26.57
2007, 53.79
2008, 37.32
2009, 36.69
2010, 32.52
2011, 26.1
2012, 27.3
2013, 46.07
