year, tmax
1950, 71.7
1951, 72
1952, 73.5
1953, 73.6
1954, 76.5
1955, 73.5
1956, 75.4
1957, 70.4
1958, 70.6
1959, 71.2
1960, 70.3
1961, 70.7
1962, 72.5
1963, 74.3
1964, 73.2
1965, 73.6
1966, 72
1967, 72.6
1968, 70.3
1969, 71.5
1970, 71.9
1971, 72.1
1972, 71.9
1973, 70.7
1974, 72.4
1975, 70.5
1976, 72.4
1977, 73.6
1978, 70.9
1979, 69.9
1980, 74.4
1981, 73.2
1982, 72.1
1983, 69.6
1984, 72.2
1985, 70.6
1986, 72.9
1987, 71.8
1988, 72.5
1989, 70.5
1990, 73.8
1991, 72.7
1992, 71.5
1993, 70.2
1994, 72.8
1995, 72
1996, 71.9
1997, 70.8
1998, 73.8
1999, 73.4
2000, 71.7
2001, 71.8
2002, 70.1
2003, 71.6
2004, 71.1
2005, 72.6
2006, 75.7
2007, 71.1
2008, 72.1
2009, 71
2010, 71.6
2011, 74.7
2012, 75.3
2013, 70.1
