year, tmin
1950, 48.1
1951, 48.5
1952, 49.6
1953, 50.3
1954, 50.6
1955, 48.7
1956, 49.2
1957, 49
1958, 48.9
1959, 48.2
1960, 48.5
1961, 48.2
1962, 49.4
1963, 49.7
1964, 49.5
1965, 50.4
1966, 48
1967, 49.1
1968, 48
1969, 48.9
1970, 48.5
1971, 48.9
1972, 48.7
1973, 49.7
1974, 49.4
1975, 48.3
1976, 47.1
1977, 50.3
1978, 48.2
1979, 46.8
1980, 49
1981, 49.7
1982, 48.7
1983, 48.3
1984, 48.9
1985, 48.9
1986, 51.5
1987, 50.1
1988, 49.1
1989, 48.3
1990, 51.1
1991, 51
1992, 50.1
1993, 48.7
1994, 49.3
1995, 48.8
1996, 47.7
1997, 48.7
1998, 51.1
1999, 49.2
2000, 48.2
2001, 49.3
2002, 47.9
2003, 47.8
2004, 49
2005, 49
2006, 49.8
2007, 50
2008, 47.7
2009, 47.8
2010, 49.1
2011, 48.7
2012, 50.8
2013, 47.2
