year, cdd_65f
1950, 1600
1951, 2000
1952, 2200
1953, 2200
1954, 2500
1955, 1900
1956, 2200
1957, 1800
1958, 1800
1959, 1800
1960, 1900
1961, 1600
1962, 2100
1963, 2400
1964, 2100
1965, 2000
1966, 1700
1967, 1600
1968, 1700
1969, 2000
1970, 2100
1971, 1800
1972, 2000
1973, 1800
1974, 1700
1975, 1800
1976, 1500
1977, 2300
1978, 2300
1979, 1700
1980, 2400
1981, 1800
1982, 1900
1983, 1900
1984, 1800
1985, 1900
1986, 1900
1987, 1900
1988, 1900
1989, 1700
1990, 1900
1991, 1900
1992, 1400
1993, 1900
1994, 1700
1995, 1700
1996, 1500
1997, 1600
1998, 2500
1999, 1900
2000, 2000
2001, 2000
2002, 1900
2003, 1800
2004, 1600
2005, 2100
2006, 2100
2007, 2000
2008, 1800
2009, 1600
2010, 2200
2011, 2300
2012, 2200
2013, 1800
