year, days_dry_days
1950, 211.7
1951, 209.1
1952, 237.6
1953, 234
1954, 257.5
1955, 227.3
1956, 226.7
1957, 190.5
1958, 205.6
1959, 211.7
1960, 221.1
1961, 206.1
1962, 212.8
1963, 246.3
1964, 246.2
1965, 238.7
1966, 226.6
1967, 222.3
1968, 212.2
1969, 237.6
1970, 206.5
1971, 202.4
1972, 218.6
1973, 180.8
1974, 217.7
1975, 198.8
1976, 231.1
1977, 224.1
1978, 217.5
1979, 208.2
1980, 244.6
1981, 209.1
1982, 200.8
1983, 202.7
1984, 188.1
1985, 197.7
1986, 204.3
1987, 208.2
1988, 218.9
1989, 223.6
1990, 186.8
1991, 206.1
1992, 204.8
1993, 209.6
1994, 214.5
1995, 201.5
1996, 215.8
1997, 203.9
1998, 209.5
1999, 237.9
2000, 203.2
2001, 230.1
2002, 214.7
2003, 201.7
2004, 207.4
2005, 216.6
2006, 223.2
2007, 202.1
2008, 214.5
2009, 196.5
2010, 217.2
2011, 228.3
2012, 233.9
2013, 212.9
