year, days_pcpn_gt_2in
1950, 1.6
1951, 0.7
1952, 0.1
1953, 0.4
1954, 0.4
1955, 0.1
1956, 0
1957, 1.2
1958, 0.5
1959, 1.1
1960, 2.2
1961, 3
1962, 0.1
1963, 0
1964, 1.4
1965, 0.2
1966, 1.4
1967, 1.2
1968, 1.2
1969, 2.1
1970, 1.5
1971, 2.7
1972, 1.1
1973, 3
1974, 3.1
1975, 0.5
1976, 1.2
1977, 1.3
1978, 0.5
1979, 0.1
1980, 0
1981, 1.6
1982, 1.7
1983, 0
1984, 1
1985, 1.1
1986, 1.4
1987, 0.4
1988, 0.1
1989, 0.3
1990, 1.7
1991, 1.3
1992, 0.3
1993, 1.5
1994, 1.3
1995, 0
1996, 2.1
1997, 1.5
1998, 2.4
1999, 0.3
2000, 0.3
2001, 1.5
2002, 1.6
2003, 0.1
2004, 2.6
2005, 0.1
2006, 1
2007, 0.6
2008, 4.2
2009, 1.7
2010, 2.4
2011, 2.8
2012, 0.2
2013, 0.1
