year, days_tmax_gt_90f
1950, 29.1
1951, 66.5
1952, 103.3
1953, 104.3
1954, 107.5
1955, 71.6
1956, 93.4
1957, 59.7
1958, 61.8
1959, 52.7
1960, 61.2
1961, 36.5
1962, 65.2
1963, 93.7
1964, 76.7
1965, 70.9
1966, 50.1
1967, 40.6
1968, 52.6
1969, 68.5
1970, 81.6
1971, 53.2
1972, 76.8
1973, 44.3
1974, 54
1975, 52.6
1976, 44.1
1977, 80.4
1978, 84.7
1979, 45.7
1980, 100.8
1981, 51.9
1982, 63.6
1983, 68.8
1984, 77.2
1985, 70.2
1986, 56.7
1987, 61.2
1988, 80.9
1989, 46.2
1990, 71.5
1991, 66.4
1992, 24.6
1993, 58.3
1994, 50.2
1995, 54
1996, 26.2
1997, 44.7
1998, 95.3
1999, 62.4
2000, 69.8
2001, 64
2002, 57.2
2003, 51.1
2004, 27.6
2005, 82.1
2006, 82.3
2007, 39.3
2008, 40.2
2009, 40.6
2010, 75.2
2011, 92
2012, 85
2013, 61.9
