year, days_tmax_lt_32f
1950, 5
1951, 6.9
1952, 0
1953, 2.4
1954, 4
1955, 0.8
1956, 2.3
1957, 1.5
1958, 6
1959, 3.4
1960, 7.4
1961, 4.5
1962, 7.9
1963, 10.2
1964, 2.6
1965, 1.9
1966, 4.8
1967, 0.1
1968, 5.7
1969, 1.8
1970, 9.1
1971, 3.7
1972, 6.6
1973, 6.5
1974, 6.3
1975, 2.4
1976, 3.1
1977, 7.1
1978, 18.5
1979, 17
1980, 5.3
1981, 2.2
1982, 6.2
1983, 12.5
1984, 4.4
1985, 11.7
1986, 3.2
1987, 0.2
1988, 7
1989, 11.6
1990, 4.1
1991, 0.5
1992, 0.1
1993, 2.6
1994, 2.9
1995, 2.7
1996, 14.5
1997, 5.4
1998, 2.1
1999, 2.7
2000, 11.3
2001, 3.7
2002, 4.2
2003, 4.9
2004, 3.7
2005, 1.8
2006, 1.9
2007, 7.1
2008, 3.4
2009, 3.8
2010, 8.4
2011, 8.9
2012, 0.1
2013, 5.7
