year, days_tmin_lt_32f
1950, 81.9
1951, 71.1
1952, 66.3
1953, 66.6
1954, 75.1
1955, 88.3
1956, 82.5
1957, 64.3
1958, 80.9
1959, 76.3
1960, 88.4
1961, 66.1
1962, 66.7
1963, 84.9
1964, 79.4
1965, 67.5
1966, 80.3
1967, 72.1
1968, 84.8
1969, 67.6
1970, 69.9
1971, 60.6
1972, 68.4
1973, 60.9
1974, 59.6
1975, 69.5
1976, 76.4
1977, 72.5
1978, 85.3
1979, 82.8
1980, 80.3
1981, 69.1
1982, 71.5
1983, 72.4
1984, 67.6
1985, 81.6
1986, 69.8
1987, 69.3
1988, 77.6
1989, 86.1
1990, 61.6
1991, 72.4
1992, 58.9
1993, 77.5
1994, 63.1
1995, 73.3
1996, 75.5
1997, 59
1998, 46.3
1999, 44.5
2000, 75.6
2001, 59.8
2002, 74.9
2003, 76
2004, 61.4
2005, 61.8
2006, 56.3
2007, 65.4
2008, 75.9
2009, 68.2
2010, 74.6
2011, 67.2
2012, 52.5
2013, 79.8
