year, hdd_65f
1950, 3400
1951, 3400
1952, 3300
1953, 3100
1954, 3200
1955, 3500
1956, 3400
1957, 3400
1958, 3800
1959, 3600
1960, 3900
1961, 3500
1962, 3500
1963, 3500
1964, 3300
1965, 3100
1966, 3400
1967, 3300
1968, 3700
1969, 3500
1970, 3600
1971, 3200
1972, 3600
1973, 3200
1974, 3100
1975, 3500
1976, 3500
1977, 3400
1978, 3900
1979, 3900
1980, 3500
1981, 3300
1982, 3500
1983, 3900
1984, 3500
1985, 3800
1986, 3200
1987, 3300
1988, 3600
1989, 3800
1990, 3100
1991, 3200
1992, 3200
1993, 3900
1994, 3300
1995, 3600
1996, 3900
1997, 3700
1998, 3100
1999, 2800
2000, 3600
2001, 3400
2002, 3700
2003, 3500
2004, 3200
2005, 3300
2006, 2900
2007, 3200
2008, 3500
2009, 3600
2010, 3700
2011, 3500
2012, 2800
2013, 3900
