year, pcpn
1950, 42.8
1951, 51.16
1952, 34.39
1953, 39.8
1954, 30.1
1955, 31.57
1956, 32.4
1957, 62.59
1958, 53.29
1959, 47.63
1960, 43.3
1961, 50.53
1962, 35.75
1963, 24.76
1964, 38.22
1965, 36.31
1966, 36.55
1967, 40.45
1968, 55.55
1969, 45.91
1970, 46.14
1971, 47.1
1972, 35.85
1973, 71.25
1974, 50.32
1975, 47.89
1976, 38.81
1977, 37.49
1978, 36.8
1979, 42.13
1980, 29.78
1981, 47.28
1982, 45.51
1983, 34.21
1984, 56
1985, 51.78
1986, 48.37
1987, 54.03
1988, 34.74
1989, 43.4
1990, 69.24
1991, 49.89
1992, 49.85
1993, 51.94
1994, 46.41
1995, 45.95
1996, 54.17
1997, 47.36
1998, 49.79
1999, 46.67
2000, 45.21
2001, 46.07
2002, 41.71
2003, 40.01
2004, 55.68
2005, 31.71
2006, 47.76
2007, 48.29
2008, 53.05
2009, 53.61
2010, 44.98
2011, 45.64
2012, 33.66
2013, 44.41
