year, tmax
1950, 71.6
1951, 72.2
1952, 74.5
1953, 74.9
1954, 76.2
1955, 73.3
1956, 74.6
1957, 71.5
1958, 70.4
1959, 71.5
1960, 70.8
1961, 70.7
1962, 72.5
1963, 74.6
1964, 73.9
1965, 73.7
1966, 72.3
1967, 72.6
1968, 70.7
1969, 72
1970, 72.2
1971, 72.4
1972, 72
1973, 71.5
1974, 72.4
1975, 71.7
1976, 71.7
1977, 73.3
1978, 72
1979, 70
1980, 74.4
1981, 72.5
1982, 72.2
1983, 70.6
1984, 72.4
1985, 71.4
1986, 72.9
1987, 73.2
1988, 73.4
1989, 71.5
1990, 74.2
1991, 73
1992, 71.2
1993, 70.5
1994, 72.1
1995, 70.9
1996, 69.4
1997, 69.7
1998, 73.6
1999, 73.7
2000, 71.7
2001, 72
2002, 70.7
2003, 71
2004, 71
2005, 73.3
2006, 74.6
2007, 71.7
2008, 71.1
2009, 69.6
2010, 71.2
2011, 73.1
2012, 75.5
2013, 69.9
