year, tmin
1950, 49
1951, 49.6
1952, 49.2
1953, 50.1
1954, 50.2
1955, 48.2
1956, 48.7
1957, 49.7
1958, 48.6
1959, 48.8
1960, 48.6
1961, 48.7
1962, 50
1963, 49.4
1964, 49.5
1965, 50.3
1966, 48.3
1967, 48.6
1968, 48.1
1969, 49.4
1970, 49.4
1971, 49.8
1972, 49.2
1973, 50.4
1974, 50.1
1975, 49.3
1976, 47.5
1977, 50.6
1978, 49.1
1979, 47.7
1980, 49.4
1981, 49.8
1982, 49.3
1983, 48
1984, 48.7
1985, 48.3
1986, 50.2
1987, 49.2
1988, 47.3
1989, 47
1990, 49.7
1991, 50
1992, 48.9
1993, 48.4
1994, 49.2
1995, 48.8
1996, 47.6
1997, 48.6
1998, 52.7
1999, 51.1
2000, 49.9
2001, 50.7
2002, 49.6
2003, 49.5
2004, 50.4
2005, 50.1
2006, 50.8
2007, 51.5
2008, 49.9
2009, 49.6
2010, 50.4
2011, 50.2
2012, 51.6
2013, 48.6
