year, cdd_65f
1950, 1400
1951, 1800
1952, 2100
1953, 2100
1954, 2600
1955, 2100
1956, 2500
1957, 1800
1958, 1900
1959, 1800
1960, 1900
1961, 1500
1962, 2000
1963, 2400
1964, 2000
1965, 2000
1966, 1700
1967, 1400
1968, 1600
1969, 1900
1970, 2000
1971, 1700
1972, 1900
1973, 1600
1974, 1500
1975, 1700
1976, 1400
1977, 2100
1978, 2100
1979, 1800
1980, 2500
1981, 2000
1982, 1900
1983, 2000
1984, 1900
1985, 1900
1986, 1900
1987, 1900
1988, 1900
1989, 1600
1990, 2000
1991, 2000
1992, 1400
1993, 1700
1994, 1600
1995, 1700
1996, 1700
1997, 1600
1998, 2400
1999, 1800
2000, 2000
2001, 2100
2002, 2000
2003, 1800
2004, 1700
2005, 2100
2006, 2200
2007, 2100
2008, 1800
2009, 1700
2010, 2200
2011, 2400
2012, 2300
2013, 1800
