year, days_pcpn_gt_2in
1950, 1.4
1951, 1.3
1952, 0.7
1953, 1.2
1954, 0.9
1955, 0.9
1956, 0.5
1957, 0.7
1958, 0.5
1959, 2.4
1960, 1.3
1961, 2.9
1962, 1.9
1963, 0.8
1964, 1.2
1965, 1.1
1966, 0.2
1967, 1
1968, 0.1
1969, 1.8
1970, 1.8
1971, 4.4
1972, 1.3
1973, 1.2
1974, 4.7
1975, 0.3
1976, 0.5
1977, 0.8
1978, 0.2
1979, 2.1
1980, 1.4
1981, 2
1982, 0.6
1983, 1.7
1984, 2.3
1985, 1.6
1986, 2.3
1987, 0.9
1988, 0.1
1989, 1.6
1990, 0.5
1991, 0.4
1992, 0.1
1993, 1.1
1994, 0.6
1995, 0.5
1996, 1
1997, 0.6
1998, 3
1999, 1.9
2000, 0.6
2001, 0.2
2002, 0.7
2003, 1.5
2004, 2
2005, 0
2006, 0.7
2007, 2.5
2008, 3.9
2009, 2.4
2010, 2
2011, 1.8
2012, 2.2
2013, 0
