year, days_tmax_gt_90f
1950, 24.4
1951, 64.1
1952, 97.4
1953, 96.8
1954, 107.5
1955, 78.5
1956, 105.9
1957, 66.3
1958, 70.4
1959, 53
1960, 60.1
1961, 37.2
1962, 52.5
1963, 92.1
1964, 68.2
1965, 74.1
1966, 53.6
1967, 27.1
1968, 48
1969, 63.3
1970, 75
1971, 54.3
1972, 74
1973, 42.4
1974, 52.3
1975, 54.4
1976, 52.6
1977, 72.5
1978, 81.9
1979, 57.9
1980, 100.7
1981, 57.7
1982, 72.4
1983, 76.6
1984, 81.6
1985, 62.5
1986, 55.5
1987, 63
1988, 71.8
1989, 34.9
1990, 72.1
1991, 64.5
1992, 28.1
1993, 51.6
1994, 43.3
1995, 57.3
1996, 49.5
1997, 43
1998, 95.2
1999, 62.5
2000, 71.5
2001, 70.8
2002, 66.6
2003, 58.1
2004, 37.6
2005, 76.8
2006, 86.2
2007, 47.1
2008, 45
2009, 52.6
2010, 69.9
2011, 89.9
2012, 78.3
2013, 54.1
