year, days_tmax_lt_32f
1950, 8.7
1951, 8.6
1952, 3.5
1953, 1.6
1954, 4.5
1955, 0.4
1956, 7
1957, 7.6
1958, 10.5
1959, 6.4
1960, 14.9
1961, 6.2
1962, 10.6
1963, 15.5
1964, 4.4
1965, 4.6
1966, 12.2
1967, 2.6
1968, 9.3
1969, 4.7
1970, 9.9
1971, 7
1972, 15.4
1973, 9.8
1974, 10.1
1975, 3.8
1976, 5.8
1977, 11.8
1978, 28.8
1979, 26.5
1980, 10.7
1981, 2.4
1982, 9.9
1983, 14.5
1984, 7.5
1985, 18.7
1986, 5.2
1987, 3.9
1988, 10.2
1989, 16.2
1990, 5.3
1991, 5.5
1992, 0.5
1993, 8.1
1994, 7
1995, 5.2
1996, 13.6
1997, 5.4
1998, 3.7
1999, 4.2
2000, 14.9
2001, 4.3
2002, 2.9
2003, 5.4
2004, 4.6
2005, 5.5
2006, 5.1
2007, 10.7
2008, 5.9
2009, 5.1
2010, 10.2
2011, 11.9
2012, 2
2013, 6.9
