year, days_tmin_lt_32f
1950, 93.2
1951, 83.3
1952, 79.4
1953, 67.7
1954, 69.6
1955, 86.4
1956, 81.7
1957, 68.4
1958, 89.4
1959, 83.1
1960, 91.6
1961, 84.1
1962, 84.6
1963, 99.5
1964, 92.7
1965, 83.4
1966, 96.2
1967, 82.5
1968, 91
1969, 96.9
1970, 89.4
1971, 80.1
1972, 85.7
1973, 71.3
1974, 80.4
1975, 92.2
1976, 99.2
1977, 88.6
1978, 107.2
1979, 95.2
1980, 84.2
1981, 69.4
1982, 78.4
1983, 79.2
1984, 76.1
1985, 88.8
1986, 78.4
1987, 72.9
1988, 84.1
1989, 96.4
1990, 64.7
1991, 77
1992, 66.5
1993, 93.2
1994, 79.2
1995, 82.7
1996, 89.9
1997, 74.4
1998, 66.6
1999, 61.2
2000, 89.6
2001, 74.8
2002, 77.3
2003, 82.3
2004, 64.3
2005, 58.9
2006, 61.6
2007, 78.2
2008, 91.4
2009, 80.2
2010, 78.8
2011, 77.6
2012, 59.3
2013, 96.6
