year, hdd_65f
1950, 3700
1951, 3900
1952, 3600
1953, 3400
1954, 3200
1955, 3500
1956, 3500
1957, 3700
1958, 4000
1959, 3700
1960, 4100
1961, 3900
1962, 3800
1963, 3800
1964, 3600
1965, 3400
1966, 3900
1967, 3700
1968, 4100
1969, 4000
1970, 4200
1971, 3700
1972, 4100
1973, 3700
1974, 3700
1975, 4000
1976, 4000
1977, 3700
1978, 4600
1979, 4400
1980, 3900
1981, 3500
1982, 3700
1983, 4300
1984, 3800
1985, 4100
1986, 3500
1987, 3600
1988, 4000
1989, 4200
1990, 3400
1991, 3600
1992, 3500
1993, 4400
1994, 3700
1995, 3800
1996, 4100
1997, 3900
1998, 3500
1999, 3100
2000, 3800
2001, 3500
2002, 3700
2003, 3600
2004, 3400
2005, 3400
2006, 3000
2007, 3400
2008, 3700
2009, 3700
2010, 3800
2011, 3800
2012, 3000
2013, 4300
