year, pcpn
1950, 33.78
1951, 40.93
1952, 25.49
1953, 37.98
1954, 22.81
1955, 28.25
1956, 24.32
1957, 47.6
1958, 34.69
1959, 48.03
1960, 38.25
1961, 48.07
1962, 41.32
1963, 24.47
1964, 38.39
1965, 30.5
1966, 26.06
1967, 36.68
1968, 39.6
1969, 33.43
1970, 33.68
1971, 49.79
1972, 33.44
1973, 59.77
1974, 53.85
1975, 41.13
1976, 29.47
1977, 39.63
1978, 34.44
1979, 37.37
1980, 33.03
1981, 38.27
1982, 35.97
1983, 35.24
1984, 44.72
1985, 53.98
1986, 44.47
1987, 46.4
1988, 35.21
1989, 35.74
1990, 44.87
1991, 37.88
1992, 44.1
1993, 41.35
1994, 47.15
1995, 42.32
1996, 35.04
1997, 45
1998, 48.57
1999, 49.92
2000, 40.56
2001, 31.61
2002, 34.7
2003, 39.7
2004, 45.72
2005, 28.77
2006, 37.22
2007, 53.95
2008, 53.85
2009, 45.68
2010, 36.99
2011, 35.26
2012, 29.57
2013, 36.16
