year, tmax
1950, 70.6
1951, 70.9
1952, 73.2
1953, 73.6
1954, 76.2
1955, 73.1
1956, 74.8
1957, 70.4
1958, 70.2
1959, 71.1
1960, 70.3
1961, 69.6
1962, 71.2
1963, 73.8
1964, 72.7
1965, 73.6
1966, 71.6
1967, 70.7
1968, 69.4
1969, 70.4
1970, 70.2
1971, 70.6
1972, 70.4
1973, 70.2
1974, 70.8
1975, 70.3
1976, 71.1
1977, 72.3
1978, 70.3
1979, 69.6
1980, 73.5
1981, 72.2
1982, 71.9
1983, 69.8
1984, 71.4
1985, 69.8
1986, 71.3
1987, 71.5
1988, 71.2
1989, 69.1
1990, 72.6
1991, 71.7
1992, 70
1993, 68.2
1994, 70.3
1995, 70.7
1996, 70.1
1997, 69.5
1998, 73
1999, 73.1
2000, 71.1
2001, 72.5
2002, 71.4
2003, 71.6
2004, 71.3
2005, 73
2006, 74.9
2007, 71.3
2008, 71.1
2009, 70.4
2010, 71.1
2011, 72.5
2012, 74.8
2013, 68.7
