year, tmin
1950, 47.1
1951, 47.8
1952, 48.3
1953, 49.7
1954, 50.6
1955, 49.2
1956, 49.6
1957, 49.5
1958, 48.4
1959, 48.4
1960, 47.7
1961, 47.2
1962, 48.5
1963, 48.3
1964, 48.4
1965, 48.6
1966, 46.6
1967, 47
1968, 46.8
1969, 47.6
1970, 47.4
1971, 48.2
1972, 47.5
1973, 48.2
1974, 47.3
1975, 47
1976, 44.8
1977, 48.6
1978, 45.9
1979, 46.1
1980, 48.9
1981, 49.7
1982, 48.1
1983, 47.9
1984, 47.8
1985, 47.9
1986, 49.7
1987, 48.9
1988, 47.3
1989, 46.6
1990, 49.9
1991, 49.7
1992, 48.5
1993, 47
1994, 48.2
1995, 47.7
1996, 46.7
1997, 47.6
1998, 50.9
1999, 49.9
2000, 49
2001, 49.9
2002, 49.2
2003, 48.8
2004, 49.5
2005, 49.9
2006, 51
2007, 51.2
2008, 48.7
2009, 48.8
2010, 49.9
2011, 49.6
2012, 51.8
2013, 47.6
